Date,DBC,EEM,EFA,GLD,IEF,LQD,QQQ,SPY,TLT,VNQ
2016-09-01,12.030576705932617,29.56541633605957,43.757137298583984,125.29000091552734,88.41788482666016,86.61895751953125,108.93436431884766,184.71694946289062,105.11528778076172,59.6998176574707
2016-09-02,12.165846824645996,30.047327041625977,44.26361083984375,126.56999969482422,88.18849182128906,86.4647445678711,109.28895568847656,185.54966735839844,104.25801086425781,60.2177848815918
2016-09-06,12.250391006469727,30.68988609313965,44.5615234375,128.7100067138672,88.59980010986328,86.76618957519531,109.97013854980469,186.11048889160156,105.01761627197266,60.68191146850586
2016-09-07,12.360297203063965,30.593502044677734,44.5838737487793,128.27000427246094,88.64727783203125,86.6469955444336,110.03546142578125,186.09349060058594,104.94233703613281,61.0451545715332
2016-09-08,12.580111503601074,30.513179779052734,44.45726776123047,127.58999633789062,88.21224975585938,86.03717803955078,109.39163208007812,185.6686553955078,103.62627410888672,60.29848861694336
2016-09-09,12.385660171508789,29.485097885131836,43.593284606933594,126.75,87.79305267333984,85.39228820800781,106.63886260986328,181.2247314453125,101.91912078857422,57.9105110168457
2016-09-12,12.385660171508789,29.685897827148438,43.95078659057617,126.58999633789062,87.87214660644531,85.3992919921875,108.55180358886719,183.82484436035156,101.97171783447266,58.59662628173828
2016-09-13,12.225028038024902,28.93892478942871,43.06447219848633,125.75,87.54790496826172,85.118896484375,107.5813217163086,181.18222045898438,100.81358337402344,57.125484466552734
2016-09-14,12.13202953338623,29.027280807495117,43.00489044189453,126.18000030517578,87.74562072753906,85.17499542236328,108.09452056884766,181.11422729492188,100.9639892578125,57.30836486816406
2016-09-15,12.19120979309082,29.52525520324707,43.37730026245117,125.37000274658203,87.76934051513672,85.23107147216797,109.77420043945312,182.92413330078125,100.52777862548828,57.52509689331055
2016-09-16,12.208117485046387,29.32445526123047,42.818687438964844,125.05999755859375,87.86421203613281,85.3292236328125,109.72180938720703,182.21697998046875,101.34000396728516,57.55221176147461
2016-09-19,12.199664115905762,29.557382583618164,43.042137145996094,125.31999969482422,87.7139892578125,85.30115509033203,109.2447280883789,182.25115966796875,101.00911712646484,58.0737419128418
2016-09-20,12.241936683654785,29.573457717895508,43.30280685424805,125.44000244140625,87.8484115600586,85.41332244873047,109.45050811767578,182.2596893310547,101.36260986328125,57.98570251464844
2016-09-21,12.39411449432373,30.400728225708008,44.06251907348633,127.2699966430664,87.99076843261719,85.8479232788086,110.52630615234375,184.309326171875,102.18231201171875,58.730735778808594
2016-09-22,12.461750030517578,30.617603302001953,44.5093879699707,127.56999969482422,88.25182342529297,86.19837951660156,111.40564727783203,185.47071838378906,102.99453735351562,59.780601501464844
2016-09-23,12.318025588989258,30.224042892456055,44.13698959350586,127.6500015258789,88.29134368896484,86.13534545898438,110.6947250366211,184.4544219970703,102.89674377441406,59.963462829589844
2016-09-26,12.402569770812988,29.782283782958984,43.727352142333984,127.55000305175781,88.54443359375,86.26849365234375,109.7685546875,182.95994567871094,103.55109405517578,60.105712890625
2016-09-27,12.284208297729492,30.20797348022461,43.93589782714844,126.62000274658203,88.6946792602539,86.47881317138672,110.8537368774414,184.09580993652344,104.31063842773438,59.469024658203125
2016-09-28,12.571656227111816,30.481054306030273,44.24871063232422,126.22000122070312,88.65518188476562,86.53485870361328,111.04080963134766,185.00955200195312,104.08509063720703,59.9566650390625
2016-09-29,12.647747039794922,29.95095443725586,43.69755935668945,126.06999969482422,88.71053314208984,86.49978637695312,110.23631286621094,183.335693359375,104.34819793701172,59.15743637084961
2016-09-30,12.690018653869629,30.07946014404297,44.04016876220703,125.63999938964844,88.48907470703125,86.34558868408203,111.0595474243164,184.71923828125,103.41570281982422,58.75106430053711
2016-10-03,12.799924850463867,30.28829002380371,43.92100524902344,125.31999969482422,88.28312683105469,86.10100555419922,110.90049743652344,184.27513122558594,103.07440948486328,57.6537971496582
2016-10-04,12.766107559204102,29.95095443725586,43.91355514526367,120.97000122070312,87.87924194335938,85.70039367675781,110.73210144042969,183.335693359375,101.86893463134766,56.868106842041016
2016-10-05,12.842196464538574,30.384672164916992,44.09230422973633,120.77999877929688,87.68124389648438,85.60906982421875,111.125,184.1470184326172,101.3942642211914,55.7166633605957
2016-10-06,12.867561340332031,30.40876579284668,43.85396957397461,119.66000366210938,87.49911499023438,85.61609649658203,111.06890106201172,184.27513122558594,100.82925415039062,55.73696517944336
2016-10-07,12.833742141723633,30.27222442626953,43.63052749633789,119.73999786376953,87.62579345703125,85.81990814208984,110.82565307617188,183.64315795898438,100.89706420898438,55.642154693603516
2016-10-10,12.97746753692627,30.601539611816406,43.757137298583984,120.16000366210938,87.39614868164062,85.81990814208984,111.52728271484375,184.59963989257812,100.30183410644531,55.98757553100586
2016-10-11,12.901378631591797,29.894723892211914,43.13896179199219,119.55000305175781,87.37234497070312,85.55288696289062,109.93695831298828,182.26821899414062,100.07583618164062,55.44572448730469
2016-10-12,12.808379173278809,29.83850860595703,43.042137145996094,119.73999786376953,87.37234497070312,85.66529846191406,109.84341430664062,182.5074005126953,100.17376708984375,56.082393646240234
2016-10-13,12.892923355102539,29.573457717895508,42.878273010253906,120.02999877929688,87.55455017089844,85.8760986328125,109.45050811767578,181.9095916748047,100.55047607421875,56.52265167236328
2016-10-14,12.901378631591797,29.621641159057617,42.952762603759766,119.36000061035156,87.28524780273438,85.47554016113281,109.58148193359375,182.0034942626953,99.14163208007812,56.272056579589844
2016-10-17,12.918286323547363,29.589513778686523,42.826133728027344,119.68000030517578,87.47533416748047,85.75662231445312,109.28211212158203,181.37158203125,99.77444458007812,56.39396667480469
2016-10-18,12.943649291992188,30.111591339111328,43.250675201416016,120.41999816894531,87.6495361328125,85.96749877929688,110.25503540039062,182.5074005126953,100.09843444824219,56.75296401977539
2016-10-19,13.028192520141602,30.296329498291016,43.369850158691406,121.11000061035156,87.68917083740234,86.07990264892578,110.24567413330078,182.99412536621094,100.18126678466797,56.8748779296875
2016-10-20,12.909832954406738,30.20797348022461,43.436885833740234,120.73999786376953,87.60994720458984,86.05182647705078,110.11470794677734,182.65255737304688,100.28675079345703,56.74617004394531
2016-10-21,12.960556983947754,30.199935913085938,43.34006118774414,120.83000183105469,87.70501708984375,86.10100555419922,110.52630615234375,182.7379608154297,100.4375228881836,56.53622817993164
2016-10-24,12.969013214111328,30.328447341918945,43.332603454589844,120.55999755859375,87.5862045288086,85.85507202148438,111.85466003417969,183.5150909423828,100.0004653930664,56.66490173339844
2016-10-25,12.909832954406738,30.360578536987305,43.30280685424805,121.47000122070312,87.57039642333984,85.79180145263672,111.49920654296875,182.90017700195312,100.26417541503906,56.56330871582031
2016-10-26,12.825287818908691,30.039306640625,43.109161376953125,120.79000091552734,87.38029479980469,85.4333267211914,110.74147033691406,182.53297424316406,99.58607482910156,55.82502365112305
2016-10-27,12.901378631591797,29.782283782958984,43.05701446533203,121.01000213623047,87.07929992675781,85.04680633544922,110.23631286621094,182.04620361328125,98.50118255615234,54.36199951171875
2016-10-28,12.816834449768066,29.661800384521484,43.042137145996094,121.58000183105469,87.09513092041016,84.94841003417969,109.54405975341797,181.50811767578125,98.28267669677734,54.49069595336914
2016-10-31,12.647747039794922,29.830469131469727,43.06447219848633,121.94000244140625,87.16650390625,85.0257339477539,109.44114685058594,181.51670837402344,98.88541412353516,55.377994537353516
2016-11-01,12.706927299499512,29.589513778686523,42.878273010253906,122.7300033569336,87.16964721679688,84.91859436035156,108.61795043945312,180.20156860351562,98.89297485351562,54.17234802246094
2016-11-02,12.55474853515625,29.236112594604492,42.587799072265625,123.63999938964844,87.43133544921875,85.04548645019531,107.74795532226562,179.1170196533203,99.32324981689453,53.3798828125
2016-11-03,12.512476921081543,29.155786514282227,42.543121337890625,124.30000305175781,87.37581634521484,84.87638092041016,106.69087219238281,178.2971649169922,98.56086730957031,52.96671676635742
2016-11-04,12.427932739257812,28.858604431152344,42.13347244262695,124.38999938964844,87.64546966552734,85.1300048828125,106.31669616699219,178.10072326660156,99.44403076171875,53.38666534423828
2016-11-07,12.478660583496094,29.902755737304688,42.71441650390625,122.1500015258789,87.28065490722656,85.07361602783203,108.84243774414062,182.0291748046875,98.59857177734375,54.32136154174805
